index,goal_position,current_pos,current_angles,current_distance,next_pos,change_to_next,next_angles,next_distance,next_utility,utility_of_changes
0.0,"[-0.04661674735319048, -0.04647965836822902, 0.31825760405829945]","[-0.07740893889104834, -0.03287662188146385, 0.3128150172418582]","[0.38528922891239636, 0.05941587978759122, -3.601563491884008e-13]",,"[-0.07542192716430919, -0.03167173204246914, 0.3139374278354031]","-1.0° on alpha, -1.0° on beta","[0.37494932375095225, 0.05121590037208401, -2.5224267119483557e-13]",0.03267532690910517,0.2817435,"{'+1.0° on alpha': 0.1275336, '-1.0° on alpha': 0.24146745, '+1.0° on beta': 0.17949782, '-1.0° on beta': 0.18901086, '+1.0° on alpha, +1.0° on beta': 0.12411274, '-1.0° on alpha, -1.0° on beta': 0.2817435, '+1.0° on alpha, -1.0° on beta': 0.13179784, '-1.0° on alpha, +1.0° on beta': 0.23671079}"
0.1,"[-0.04661674735319048, -0.04647965836822902, 0.31825760405829945]","[-0.07542192716430919, -0.03167173204246914, 0.3139374278354031]","[0.37494932375095225, 0.05121590037208401, -2.5224267119483557e-13]",0.03267532690910517,"[-0.07327390834831059, -0.03232825430948997, 0.3145544121434677]","-1.0° on alpha, +1.0° on beta","[0.3645592474408432, 0.05998094194771131, -3.2729374765949615e-13]",0.030406908746393877,0.42814416,"{'+1.0° on alpha': 0.19559437, '-1.0° on alpha': 0.24701098, '+1.0° on beta': 0.28945157, '-1.0° on beta': 0.20375955, '+1.0° on alpha, +1.0° on beta': 0.18946403, '-1.0° on alpha, -1.0° on beta': 0.25426605, '+1.0° on alpha, -1.0° on beta': 0.24042848, '-1.0° on alpha, +1.0° on beta': 0.42814416}"
0.2,"[-0.04661674735319048, -0.04647965836822902, 0.31825760405829945]","[-0.07327390834831059, -0.03232825430948997, 0.3145544121434677]","[0.3645592474408432, 0.05998094194771131, -3.2729374765949615e-13]",0.030406908746393877,"[-0.07112394540246736, -0.03407139730545451, 0.31491196895776247]","-1.0° on alpha, +1.0° on beta","[0.35411913291528485, 0.07144603773810365, -3.432809592140984e-13]",0.027672386471975844,0.5196611,"{'+1.0° on alpha': 0.28711167, '-1.0° on alpha': 0.2867558, '+1.0° on beta': 0.3809696, '-1.0° on beta': 0.24350491, '+1.0° on alpha, +1.0° on beta': 0.24227718, '-1.0° on alpha, -1.0° on beta': 0.29401106, '+1.0° on alpha, -1.0° on beta': 0.33194616, '-1.0° on alpha, +1.0° on beta': 0.5196611}"
0.3,"[-0.04661674735319048, -0.04647965836822902, 0.31825760405829945]","[-0.07112394540246736, -0.03407139730545451, 0.31491196895776247]","[0.35411913291528485, 0.07144603773810365, -3.432809592140984e-13]",0.027672386471975844,"[-0.06909435853776878, -0.03421917944195683, 0.31562105847426963]",-1.0° on alpha,"[0.3436290908020738, 0.07258916841902519, -3.397282455352979e-13]",0.025739341885201945,0.5668219,"{'+1.0° on alpha': 0.2894377, '-1.0° on alpha': 0.5668219, '+1.0° on beta': 0.38329494, '-1.0° on beta': 0.47296456, '+1.0° on alpha, +1.0° on beta': 0.2689685, '-1.0° on alpha, -1.0° on beta': 0.44696248, '+1.0° on alpha, -1.0° on beta': 0.33427194, '-1.0° on alpha, +1.0° on beta': 0.52198726}"
0.4,"[-0.04661674735319048, -0.04647965836822902, 0.31825760405829945]","[-0.06909435853776878, -0.03421917944195683, 0.31562105847426963]","[0.3436290908020738, 0.07258916841902519, -3.397282455352979e-13]",0.025739341885201945,"[-0.06695401242588961, -0.03528053476201515, 0.3160505949792944]","-1.0° on alpha, +1.0° on beta","[0.3330892378257242, 0.08263354927085187, -3.4505731605349865e-13]",0.023321569613971,0.6759846,"{'+1.0° on alpha': 0.44343475, '-1.0° on alpha': 0.35833392, '+1.0° on beta': 0.53729224, '-1.0° on beta': 0.3150829, '+1.0° on alpha, +1.0° on beta': 0.39860007, '-1.0° on alpha, -1.0° on beta': 0.3458203, '+1.0° on alpha, -1.0° on beta': 0.48826918, '-1.0° on alpha, +1.0° on beta': 0.6759846}"
0.5,"[-0.04661674735319048, -0.04647965836822902, 0.31825760405829945]","[-0.06695401242588961, -0.03528053476201515, 0.3160505949792944]","[0.3330892378257242, 0.08263354927085187, -3.4505731605349865e-13]",0.023321569613971,"[-0.06475255593486687, -0.03683209933679828, 0.316349343795836]","-1.0° on alpha, +1.0° on beta","[0.32249970099073444, 0.09398489342777339, -3.6415315207705135e-13]",0.02063066662532854,0.72848463,"{'+1.0° on alpha': 0.51022154, '-1.0° on alpha': 0.5813945, '+1.0° on beta': 0.6040793, '-1.0° on beta': 0.47575185, '+1.0° on alpha, +1.0° on beta': 0.46538737, '-1.0° on alpha, -1.0° on beta': 0.3308514, '+1.0° on alpha, -1.0° on beta': 0.5550564, '-1.0° on alpha, +1.0° on beta': 0.72848463}"
0.6,"[-0.04661674735319048, -0.04647965836822902, 0.31825760405829945]","[-0.06475255593486687, -0.03683209933679828, 0.316349343795836]","[0.32249970099073444, 0.09398489342777339, -3.6415315207705135e-13]",0.02063066662532854,"[-0.06277354687396505, -0.03589075096977238, 0.31732052572693503]","-1.0° on alpha, -1.0° on beta","[0.31186059108291797, 0.08526084389557154, -3.645972412869014e-13]",0.019340249389465068,0.7258096,"{'+1.0° on alpha': 0.52666736, '-1.0° on alpha': 0.7211949, '+1.0° on beta': 0.5606428, '-1.0° on beta': 0.7083967, '+1.0° on alpha, +1.0° on beta': 0.4739678, '-1.0° on alpha, -1.0° on beta': 0.7258096, '+1.0° on alpha, -1.0° on beta': 0.57150203, '-1.0° on alpha, +1.0° on beta': 0.64731735}"
0.7,"[-0.04661674735319048, -0.04647965836822902, 0.31825760405829945]","[-0.06277354687396505, -0.03589075096977238, 0.31732052572693503]","[0.31186059108291797, 0.08526084389557154, -3.645972412869014e-13]",0.019340249389465068,"[-0.06567556030450691, -0.03661308566192808, 0.3160782591424998]","+1.0° on alpha, +1.0° on beta","[0.3262860031633168, 0.09421640082016891, -3.588240815588506e-13]",0.02157167476910431,0.34527028,"{'+1.0° on alpha': 0.29944128, '-1.0° on alpha': 0.21708262, '+1.0° on beta': 0.26626152, '-1.0° on beta': 0.19563898, '+1.0° on alpha, +1.0° on beta': 0.34527028, '-1.0° on alpha, -1.0° on beta': 0.26037696, '+1.0° on alpha, -1.0° on beta': 0.25151107, '-1.0° on alpha, +1.0° on beta': 0.19343674}"
0.8,"[-0.04661674735319048, -0.04647965836822902, 0.31825760405829945]","[-0.06567556030450691, -0.03661308566192808, 0.3160782591424998]","[0.3262860031633168, 0.09421640082016891, -3.588240815588506e-13]",0.02157167476910431,"[-0.06367870952495727, -0.036021722129247286, 0.3169942336549527]","-1.0° on alpha, -1.0° on beta","[0.31563776087467543, 0.08584595318177168, -3.6060043839825084e-13]",0.020051810100473747,0.7491015,"{'+1.0° on alpha': 0.4685258, '-1.0° on alpha': 0.67522407, '+1.0° on beta': 0.51467216, '-1.0° on beta': 0.65205264, '+1.0° on alpha, +1.0° on beta': 0.42369124, '-1.0° on alpha, -1.0° on beta': 0.7491015, '+1.0° on alpha, -1.0° on beta': 0.5133606, '-1.0° on alpha, +1.0° on beta': 0.60134745}"
0.9,"[-0.04661674735319048, -0.04647965836822902, 0.31825760405829945]","[-0.06367870952495727, -0.036021722129247286, 0.3169942336549527]","[0.31563776087467543, 0.08584595318177168, -3.6060043839825084e-13]",0.020051810100473747,"[-0.06636131551641623, -0.03668385879764518, 0.3158173712804126]","+1.0° on alpha, +1.0° on beta","[0.330054065566594, 0.09474727731426658, -3.5349501104064984e-13]",0.022175671290619186,0.70800996,"{'+1.0° on alpha': 0.44441584, '-1.0° on alpha': 0.22153288, '+1.0° on beta': 0.4987225, '-1.0° on beta': 0.25118428, '+1.0° on alpha, +1.0° on beta': 0.70800996, '-1.0° on alpha, -1.0° on beta': 0.19388855, '+1.0° on alpha, -1.0° on beta': 0.3372547, '-1.0° on alpha, +1.0° on beta': 0.27089447}"
0.1,"[-0.04661674735319048, -0.04647965836822902, 0.31825760405829945]","[-0.06636131551641623, -0.03668385879764518, 0.3158173712804126]","[0.330054065566594, 0.09474727731426658, -3.5349501104064984e-13]",0.022175671290619186,"[-0.06440008947237705, -0.03608211301456706, 0.31673259936485604]","-1.0° on alpha, -1.0° on beta","[0.319396738881093, 0.0863831006597251, -3.566036355096003e-13]",0.02065627860057365,0.6855265,"{'+1.0° on alpha': 0.4005571, '-1.0° on alpha': 0.61164945, '+1.0° on beta': 0.45109785, '-1.0° on beta': 0.58408374, '+1.0° on alpha, +1.0° on beta': 0.36076698, '-1.0° on alpha, -1.0° on beta': 0.6855265, '+1.0° on alpha, -1.0° on beta': 0.44539097, '-1.0° on alpha, +1.0° on beta': 0.5377725}"
0.11,"[-0.04661674735319048, -0.04647965836822902, 0.31825760405829945]","[-0.06440008947237705, -0.03608211301456706, 0.31673259936485604]","[0.319396738881093, 0.0863831006597251, -3.566036355096003e-13]",0.02065627860057365,"[-0.06457684765707973, -0.03674810793776847, 0.3164081983907316]",+1.0° on beta,"[0.3212469939618354, 0.09528173809733653, -3.668176873361517e-13]",0.020510694235680856,0.74046576,"{'+1.0° on alpha': 0.6679371, '-1.0° on alpha': 0.28453183, '+1.0° on beta': 0.74046576, '-1.0° on beta': 0.3199689, '+1.0° on alpha, +1.0° on beta': 0.62310266, '-1.0° on alpha, -1.0° on beta': 0.230008, '+1.0° on alpha, -1.0° on beta': 0.4293401, '-1.0° on alpha, +1.0° on beta': 0.5627983}"
0.12,"[-0.04661674735319048, -0.04647965836822902, 0.31825760405829945]","[-0.06457684765707973, -0.03674810793776847, 0.3164081983907316]","[0.3212469939618354, 0.09528173809733653, -3.668176873361517e-13]",0.020510694235680856,"[-0.06247100128163668, -0.037308310365445935, 0.316977112440746]",-1.0° on alpha,"[0.3105358097557258, 0.096876069206139, -3.8680170177940454e-13]",0.01836057326442804,0.74227595,"{'+1.0° on alpha': 0.5510941, '-1.0° on alpha': 0.74227595, '+1.0° on beta': 0.58172387, '-1.0° on beta': 0.72947824, '+1.0° on alpha, +1.0° on beta': 0.495049, '-1.0° on alpha, -1.0° on beta': 0.548589, '+1.0° on alpha, -1.0° on beta': 0.5959289, '-1.0° on alpha, +1.0° on beta': 0.66839874}"
0.13,"[-0.04661674735319048, -0.04647965836822902, 0.31825760405829945]","[-0.06247100128163668, -0.037308310365445935, 0.316977112440746]","[0.3105358097557258, 0.096876069206139, -3.8680170177940454e-13]",0.01836057326442804,"[-0.060184914259321674, -0.03829376662931686, 0.3173574344467114]","-1.0° on alpha, +1.0° on beta","[0.29977534887622115, 0.10692380336091878, -3.779199175824033e-13]",0.015871807776162445,0.7811775,"{'+1.0° on alpha': 0.6817036, '-1.0° on alpha': 0.34005547, '+1.0° on beta': 0.6945021, '-1.0° on beta': 0.37785423, '+1.0° on alpha, +1.0° on beta': 0.6078266, '-1.0° on alpha, -1.0° on beta': 0.23576707, '+1.0° on alpha, -1.0° on beta': 0.7465205, '-1.0° on alpha, +1.0° on beta': 0.7811775}"
0.14,"[-0.04661674735319048, -0.04647965836822902, 0.31825760405829945]","[-0.060184914259321674, -0.03829376662931686, 0.3173574344467114]","[0.29977534887622115, 0.10692380336091878, -3.779199175824033e-13]",0.015871807776162445,"[-0.06322831984877876, -0.03755595472765401, 0.3166585995626821]","+1.0° on alpha, -1.0° on beta","[0.3140797042515633, 0.09842498822132795, -4.192202140984591e-13]",0.01892441922009765,0.76582134,"{'+1.0° on alpha': 0.71632123, '-1.0° on alpha': 0.23900339, '+1.0° on beta': 0.72982776, '-1.0° on beta': 0.27105486, '+1.0° on alpha, +1.0° on beta': 0.6424443, '-1.0° on alpha, -1.0° on beta': 0.19003254, '+1.0° on alpha, -1.0° on beta': 0.76582134, '-1.0° on alpha, +1.0° on beta': 0.74135745}"
0.15,"[-0.04661674735319048, -0.04647965836822902, 0.31825760405829945]","[-0.06322831984877876, -0.03755595472765401, 0.3166585995626821]","[0.3140797042515633, 0.09842498822132795, -4.192202140984591e-13]",0.01892441922009765,"[-0.06118127101514974, -0.03709479897985759, 0.31743192555213917]",-1.0° on alpha,"[0.3033107007457607, 0.09741904781738864, -4.369837824924616e-13]",0.01734597014395014,0.7320112,"{'+1.0° on alpha': 0.558662, '-1.0° on alpha': 0.7320112, '+1.0° on beta': 0.57145953, '-1.0° on beta': 0.7192135, '+1.0° on alpha, +1.0° on beta': 0.4847842, '-1.0° on alpha, -1.0° on beta': 0.6155516, '+1.0° on alpha, -1.0° on beta': 0.6325389, '-1.0° on alpha, +1.0° on beta': 0.658134}"
0.16,"[-0.04661674735319048, -0.04647965836822902, 0.31825760405829945]","[-0.06118127101514974, -0.03709479897985759, 0.31743192555213917]","[0.3033107007457607, 0.09741904781738864, -4.369837824924616e-13]",0.01734597014395014,"[-0.06377406079916541, -0.038477395777959326, 0.31614432931192216]","+1.0° on alpha, +1.0° on beta","[0.3176065383329858, 0.10784959976768738, -4.3209880118411093e-13]",0.019049292412074995,0.77407515,"{'+1.0° on alpha': 0.3239936, '-1.0° on alpha': 0.19676042, '+1.0° on beta': 0.28977665, '-1.0° on beta': 0.19256088, '+1.0° on alpha, +1.0° on beta': 0.77407515, '-1.0° on alpha, -1.0° on beta': 0.24005505, '+1.0° on alpha, -1.0° on beta': 0.27504897, '-1.0° on alpha, +1.0° on beta': 0.21115133}"
0.17,"[-0.04661674735319048, -0.04647965836822902, 0.31825760405829945]","[-0.06377406079916541, -0.038477395777959326, 0.31614432931192216]","[0.3176065383329858, 0.10784959976768738, -4.3209880118411093e-13]",0.019049292412074995,"[-0.06182223970240812, -0.037652709780793645, 0.317088133082307]","-1.0° on alpha, -1.0° on beta","[0.3068290282924311, 0.09929110828341647, -4.32542890393961e-13]",0.017620717389227724,0.5657631,"{'+1.0° on alpha': 0.31869322, '-1.0° on alpha': 0.4918857, '+1.0° on beta': 0.3313332, '-1.0° on beta': 0.47908857, '+1.0° on alpha, +1.0° on beta': 0.28753355, '-1.0° on alpha, -1.0° on beta': 0.5657631, '+1.0° on alpha, -1.0° on beta': 0.39241257, '-1.0° on alpha, +1.0° on beta': 0.4180089}"
